product_category_en,delivered_orders,product_revenue,freight_revenue,avg_review_score,avg_delivery_days,late_delivery_rate
furniture_mattress_and_upholstery,37,4323.38,1581.37,3.6136363636363638,14.574545454545454,0.12272727272727274
portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,294.41999999999996,4.036666666666666,9.336666666666668,0.04763333333333333
fashio_female_clothing,36,2634.94,583.5,3.818125,13.445625,0.04166875
fashion_sport,26,2094.52,563.03,4.428571428571429,10.749285714285715,0.14285714285714285
la_cuisine,13,2054.99,333.55,3.875,7.754444444444445,0.0
arts_and_craftmanship,23,1814.0100000000002,370.13,4.376666666666666,6.006666666666667,0.03518333333333334
diapers_and_hygiene,25,1500.79,545.4,3.473,12.370000000000001,0.01429
pc_gamer,7,1306.95,123.15,3.5833333333333335,9.976666666666667,0.0
flowers,29,1110.04,488.87,4.397777777777778,11.773333333333333,0.01587777777777778
home_comfort_2,24,760.27,410.31,3.7028571428571433,14.861428571428572,0.1666642857142857
cds_dvds_musicals,12,730.0,224.98999999999998,4.833333333333333,11.298333333333334,0.0
fashion_childrens_clothes,7,519.95,78.72,5.0,9.07,0.0
security_and_services,2,283.28999999999996,41.22,2.5,15.14,0.0
